Adieu>>|<<interj. &amp; adv.>>|<<Good-by; farewell; an expression of kind wishes at parting.
Hollow>>|<<interj.>>|<<Hollo.
Hoo>>|<<interj.>>|<<See Ho.
Hoo>>|<<interj.>>|<<Hurrah! -- an exclamation of triumphant joy.
Hoy>>|<<interj.>>|<<Ho! Halloe! Stop!
Hullo>>|<<interj.>>|<<See Hollo.
Hum>>|<<interj.>>|<<An inarticulate nasal sound or murmur, like h'm, uttered by a speaker in pause from embarrassment, affectation, etc.
Hum>>|<<interj.>>|<<A kind of strong drink formerly used.
Hum>>|<<interj.>>|<<Ahem; hem; an inarticulate sound uttered in a pause of speech implying doubt and deliberation.
Humph>>|<<interj.>>|<<An exclamation denoting surprise, or contempt, doubt, etc.
Hurrah>>|<<interj.>>|<<Alt. of Hurra
Hurra>>|<<interj.>>|<<A word used as a shout of joy, triumph, applause, encouragement, or welcome.
Huzza>>|<<interj.>>|<<A word used as a shout of joy, exultation, approbation, or encouragement.
Jossa>>|<<interj.>>|<<A command to a horse, probably meaning "stand still."
La>>|<<interj.>>|<<Look; see; behold; -- sometimes followed by you.
La>>|<<interj.>>|<<An exclamation of surprise; -- commonly followed by me; as, La me!
Lack>>|<<interj.>>|<<Exclamation of regret or surprise.
Lackadaisy>>|<<interj.>>|<<An expression of languor.
Lackaday>>|<<interj.>>|<<Alack the day; alas; -- an expression of sorrow, regret, dissatisfaction, or surprise.
Law>>|<<interj.>>|<<An exclamation of mild surprise.
Lo>>|<<interj.>>|<<Look; see; behold; observe.
Marie>>|<<interj.>>|<<Marry.
Marry>>|<<interj.>>|<<Indeed ! in truth ! -- a term of asseveration said to have been derived from the practice of swearing by the Virgin Mary.
Mary>>|<<interj.>>|<<See Marry.
Mum>>|<<interj.>>|<<Be silent! Hush!
O>>|<<interj.>>|<<An exclamation used in calling or directly addressing a person or personified object; also, as an emotional or impassioned exclamation expressing pain, grief, surprise, desire, fear, etc.
Ods>>|<<interj.>>|<<A corruption of God's; -- formerly used in oaths and ejaculatory phrases.
Off>>|<<interj.>>|<<Away; begone; -- a command to depart.
Oh>>|<<interj.>>|<<An exclamation expressing various emotions, according to the tone and manner, especially surprise, pain, sorrow, anxiety, or a wish. See the Note under O.
Oho>>|<<interj.>>|<<An exclamation of surprise, etc.
Out>>|<<interj.>>|<<Expressing impatience, anger, a desire to be rid of; -- with the force of command; go out; begone; away; off.
Oyez>>|<<interj.>>|<<Hear; attend; -- a term used by criers of courts to secure silence before making a proclamation. It is repeated three times.
Pah>>|<<interj.>>|<<An exclamation expressing disgust or contempt. See Bah.
Parfay>>|<<interj.>>|<<By my faith; verily.
Pish>>|<<interj.>>|<<An exclamation of contempt.
Poh>>|<<interj.>>|<<An exclamation expressing contempt or disgust; bah !
Pooh>>|<<interj.>>|<<Pshaw! pish! nonsense! -- an expression of scorn, dislike, or contempt.
Prithee>>|<<interj.>>|<<A corruption of pray thee; as, I prithee; generally used without I.
Proface>>|<<interj.>>|<<Much good may it do you! -- a familiar salutation or welcome.
Prythee>>|<<interj.>>|<<See Prithee.
Pshaw>>|<<interj.>>|<<Pish! pooch! -- an exclamation used as an expression of contempt, disdain, dislike, etc.
Pugh>>|<<interj.>>|<<Pshaw! pish! -- a word used in contempt or disdain.
Puh>>|<<interj.>>|<<The same as Pugh.
Quits>>|<<interj.>>|<<See the Note under Quit, a.
Quotha>>|<<interj.>>|<<Indeed; forsooth.
Roint>>|<<interj.>>|<<See Aroint.
Salve>>|<<interj.>>|<<Hail!
'Sblood>>|<<interj.>>|<<An abbreviation of God's blood; -- used as an oath.
Scat>>|<<interj.>>|<<Go away; begone; away; -- chiefly used in driving off a cat.
'Sdeath>>|<<interj.>>|<<An exclamation expressive of impatience or anger.
Sessa>>|<<interj.>>|<<Hurry; run.
Shoo>>|<<interj.>>|<<Begone; away; -- an expression used in frightening away animals, especially fowls.
Shough>>|<<interj.>>|<<See Shoo.
Silence>>|<<interj.>>|<<Be silent; -- used elliptically for let there be silence, or keep silence.
'Snails>>|<<interj.>>|<<God's nails, or His nails, that is, the nails with which the Savior was fastened to the cross; -- an ancient form of oath, corresponding to 'Od's bodikins (dim. of body, i.e., God's dear body).
So>>|<<interj.>>|<<Be as you are; stand still; stop; that will do; right as you are; -- a word used esp. to cows; also used by sailors.
Soft>>|<<interj.>>|<<Be quiet; hold; stop; not so fast.
Soho>>|<<interj.>>|<<Ho; -- a word used in calling from a distant place; a sportsman's halloo.
'Swounds>>|<<interj.>>|<<An exclamation contracted from God's wounds; -- used as an oath.
Tallyho>>|<<interj. &amp; n.>>|<<The huntsman's cry to incite or urge on his hounds.
Tallyho>>|<<interj. &amp; n.>>|<<A tallyho coach.
Te-hee>>|<<n. &amp; interj.>>|<<A tittering laugh; a titter.
Tush>>|<<interj.>>|<<An exclamation indicating check, rebuke, or contempt; as, tush, tush! do not speak of it.
Tu-whit>>|<<n. &amp; interj.>>|<<Alt. of Tu-whoo
Tu-whoo>>|<<n. &amp; interj.>>|<<Words imitative of the notes of the owl.
Ugh>>|<<interj.>>|<<An exclamation expressive of disgust, horror, or recoil. Its utterance is usually accompanied by a shudder.
Walaway>>|<<interj.>>|<<See Welaway.
Waly>>|<<interj.>>|<<An exclamation of grief.
Wayleway>>|<<interj.>>|<<See Welaway.
Welaway>>|<<interj.>>|<<Alas!
Welladay>>|<<interj.>>|<<Alas! Welaway!
Weyleway>>|<<interj.>>|<<See Welaway.
Whew>>|<<n. &amp; interj.>>|<<A sound like a half-formed whistle, expressing astonishment, scorn, or dislike.
Whist>>|<<interj.>>|<<Be silent; be still; hush; silence.
Whoa>>|<<interj.>>|<<Stop; stand; hold.  See Ho, 2.
Yoicks>>|<<interj.>>|<<A cry of encouragement to foxhounds.
Zounds>>|<<interj.>>|<<An exclamation formerly used as an oath, and an expression of anger or wonder.
