Abandon>>|<<v.>>|<<Abandonment; relinquishment.
Behove>>|<<v.>>|<<and derivatives. See Behoove, &amp;c.
Bellow>>|<<v.>>|<<To make a hollow, loud noise, as an enraged bull.
Bellow>>|<<v.>>|<<To bowl; to vociferate; to clamor.
Bellow>>|<<v.>>|<<To roar; as the sea in a tempest, or as the wind when violent; to make a loud, hollow, continued sound.
Bent>>|<<v.>>|<<The state of being curved, crooked, or inclined from a straight line; flexure; curvity; as, the bent of a bow.
Bent>>|<<v.>>|<<A declivity or slope, as of a hill.
Bent>>|<<v.>>|<<A leaning or bias; proclivity; tendency of mind; inclination; disposition; purpose; aim.
Bent>>|<<v.>>|<<Particular direction or tendency; flexion; course.
Bent>>|<<v.>>|<<A transverse frame of a framed structure.
Bent>>|<<v.>>|<<Tension; force of acting; energy; impetus.
Bigg>>|<<n. &amp; v.>>|<<See Big, n. &amp; v.
Bight>>|<<v.>>|<<A corner, bend, or angle; a hollow; as, the bight of a horse's knee; the bight of an elbow.
Bight>>|<<v.>>|<<A bend in a coast forming an open bay; as, the Bight of Benin.
Bight>>|<<v.>>|<<The double part of a rope when folded, in distinction from the ends; that is, a round, bend, or coil not including the ends; a loop.
Bit>>|<<v.>>|<<The part of a bridle, usually of iron, which is inserted in the mouth of a horse, and having appendages to which the reins are fastened.
Bit>>|<<v.>>|<<Fig.: Anything which curbs or restrains.
Bit>>|<<v.>>|<<A part of anything, such as may be bitten off or taken into the mouth; a morsel; a bite. Hence: A small piece of anything; a little; a mite.
Bit>>|<<v.>>|<<Somewhat; something, but not very great.
Bit>>|<<v.>>|<<A tool for boring, of various forms and sizes, usually turned by means of a brace or bitstock. See Bitstock.
Bit>>|<<v.>>|<<The part of a key which enters the lock and acts upon the bolt and tumblers.
Bit>>|<<v.>>|<<The cutting iron of a plane.
Bit>>|<<v.>>|<<In the Southern and Southwestern States, a small silver coin (as the real) formerly current; commonly, one worth about 12 1/2 cents; also, the sum of 12 1/2 cents.
Bite>>|<<v.>>|<<The act of seizing with the teeth or mouth; the act of wounding or separating with the teeth or mouth; a seizure with the teeth or mouth, as of a bait; as, to give anything a hard bite.
Bite>>|<<v.>>|<<The act of puncturing or abrading with an organ for taking food, as is done by some insects.
Bite>>|<<v.>>|<<The wound made by biting; as, the pain of a dog's or snake's bite; the bite of a mosquito.
Bite>>|<<v.>>|<<A morsel; as much as is taken at once by biting.
Bite>>|<<v.>>|<<The hold which the short end of a lever has upon the thing to be lifted, or the hold which one part of a machine has upon another.
Bite>>|<<v.>>|<<A cheat; a trick; a fraud.
Bite>>|<<v.>>|<<A sharper; one who cheats.
Bite>>|<<v.>>|<<A blank on the edge or corner of a page, owing to a portion of the frisket, or something else, intervening between the type and paper.
Blab>>|<<v.>>|<<To utter or tell unnecessarily, or in a thoughtless manner; to publish (secrets or trifles) without reserve or discretion.
Blame>>|<<v.>>|<<An expression of disapprobation fir something deemed to be wrong; imputation of fault; censure.
Blame>>|<<v.>>|<<That which is deserving of censure or disapprobation; culpability; fault; crime; sin.
Blame>>|<<v.>>|<<Hurt; injury.
Blaspheme>>|<<v.>>|<<To speak of, or address, with impious irreverence; to revile impiously (anything sacred); as, to blaspheme the Holy Spirit.
Blaspheme>>|<<v.>>|<<Figuratively, of persons and things not religiously sacred, but held in high honor: To calumniate; to revile; to abuse.
Blear>>|<<v.>>|<<Dim or sore with water or rheum; -- said of the eyes.
Blear>>|<<v.>>|<<Causing or caused by dimness of sight; dim.
Boil>>|<<v.>>|<<To be agitated, or tumultuously moved, as a liquid by the generation and rising of bubbles of steam (or vapor), or of currents produced by heating it to the boiling point; to be in a state of ebullition; as, the water boils.
Boil>>|<<v.>>|<<To be agitated like boiling water, by any other cause than heat; to bubble; to effervesce; as, the boiling waves.
Boil>>|<<v.>>|<<To pass from a liquid to an aeriform state or vapor when heated; as, the water boils away.
Boil>>|<<v.>>|<<To be moved or excited with passion; to be hot or fervid; as, his blood boils with anger.
Boil>>|<<v.>>|<<To be in boiling water, as in cooking; as, the potatoes are boiling.
Bound>>|<<v.>>|<<Ready or intending to go; on the way toward; going; -- with to or for, or with an adverb of motion; as, a ship is bound to Cadiz, or for Cadiz.
Bourn>>|<<v.>>|<<Alt. of Bourne
Bourne>>|<<v.>>|<<A stream or rivulet; a burn.
Bower>>|<<v. &amp; n.>>|<<One who bows or bends.
Bower>>|<<v. &amp; n.>>|<<An anchor carried at the bow of a ship.
Bower>>|<<v. &amp; n.>>|<<A muscle that bends a limb, esp. the arm.
Budge>>|<<v.>>|<<Brisk; stirring; jocund.
Bulk>>|<<v.>>|<<A projecting part of a building.
Buz>>|<<v. &amp; n.>>|<<See Buzz.
Cannon>>|<<n. &amp; v.>>|<<See Carom.
Catalog>>|<<n. &amp; v.>>|<<Catalogue.
Cause>>|<<v.>>|<<That which produces or effects a result; that from which anything proceeds, and without which it would not exist.
Cause>>|<<v.>>|<<That which is the occasion of an action or state; ground; reason; motive; as, cause for rejoicing.
Cause>>|<<v.>>|<<Sake; interest; advantage.
Cause>>|<<v.>>|<<A suit or action in court; any legal process by which a party endeavors to obtain his claim, or what he regards as his right; case; ground of action.
Cause>>|<<v.>>|<<Any subject of discussion or debate; matter; question; affair in general.
Cause>>|<<v.>>|<<The side of a question, which is espoused, advocated, and upheld by a person or party; a principle which is advocated; that which a person or party seeks to attain.
Centre>>|<<n. &amp; v.>>|<<See Center.
Chare>>|<<n. &amp; v.>>|<<A chore; to chore; to do. See Char.
Chase>>|<<v.>>|<<Vehement pursuit for the purpose of killing or capturing, as of an enemy, or game; an earnest seeking after any object greatly desired; the act or habit of hunting; a hunt.
Chase>>|<<v.>>|<<That which is pursued or hunted.
Chase>>|<<v.>>|<<An open hunting ground to which game resorts, and which is private properly, thus differing from a forest, which is not private property, and from a park, which is inclosed. Sometimes written chace.
Chase>>|<<v.>>|<<A division of the floor of a gallery, marked by a figure or otherwise; the spot where a ball falls, and between which and the dedans the adversary must drive his ball in order to gain a point.
Chaunt>>|<<n. &amp; v.>>|<<See Chant.
Chear>>|<<n. &amp; v.>>|<<See Cheer.
Checkers>>|<<v.>>|<<A game, called also daughts, played on a checkerboard by two persons, each having twelve men (counters or checkers) which are moved diagonally.  The game is ended when either of the players has lost all his men, or can not move them.
Chequer>>|<<n. &amp; v.>>|<<Same as Checker.
Clog>>|<<v.>>|<<That which hinders or impedes motion; hence, an encumbrance, restraint, or impediment, of any kind.
Clog>>|<<v.>>|<<A weight, as a log or block of wood, attached to a man or an animal to hinder motion.
Clog>>|<<v.>>|<<A shoe, or sandal, intended to protect the feet from wet, or to increase the apparent stature, and having, therefore, a very thick sole. Cf. Chopine.
Cloke>>|<<n. &amp; v.>>|<<See Cloak.
Cohabit>>|<<v.>>|<<To inhabit or reside in company, or in the same place or country.
Cohabit>>|<<v.>>|<<To dwell or live together as husband and wife.
Common>>|<<v.>>|<<Belonging or relating equally, or similarly, to more than one; as, you and I have a common interest in the property.
Common>>|<<v.>>|<<Belonging to or shared by, affecting or serving, all the members of a class, considered together; general; public; as, properties common to all plants; the common schools; the Book of Common Prayer.
Common>>|<<v.>>|<<Often met with; usual; frequent; customary.
Common>>|<<v.>>|<<Not distinguished or exceptional; inconspicuous; ordinary; plebeian; -- often in a depreciatory sense.
Common>>|<<v.>>|<<Profane; polluted.
Common>>|<<v.>>|<<Given to habits of lewdness; prostitute.
Comptrol>>|<<n. &amp; v.>>|<<See Control.
Conflict>>|<<v.>>|<<A striking or dashing together; violent collision; as, a conflict of elements or waves.
Conflict>>|<<v.>>|<<A strife for the mastery; hostile contest; battle; struggle; fighting.
Congee>>|<<n. &amp; v.>>|<<See Conge, Conge.
Contrite>>|<<v.>>|<<In a contrite manner.
Coppel>>|<<n. &amp; v.>>|<<See Cupel.
Coroun>>|<<v. &amp; n.>>|<<Crown.
Countinghouse>>|<<v.>>|<<Alt. of Countingroom
Countingroom>>|<<v.>>|<<The house or room in which a merchant, trader, or manufacturer keeps his books and transacts business.
Couple>>|<<v.>>|<<To link or tie, as one thing to another; to connect or fasten together; to join.
Couple>>|<<v.>>|<<To join in wedlock; to marry.
Crache>>|<<v.>>|<<To scratch.
Crepitate>>|<<v.>>|<<To make a series of small, sharp, rapidly repeated explosions or sounds, as salt in fire; to crackle; to snap.
Critique>>|<<v.>>|<<To criticise or pass judgment upon.
Cumber>>|<<v.>>|<<Trouble; embarrassment; distress.
Curl>>|<<v.>>|<<A ringlet, especially of hair; anything of a spiral or winding form.
Curl>>|<<v.>>|<<An undulating or waving line or streak in any substance, as wood, glass, etc.; flexure; sinuosity.
Curl>>|<<v.>>|<<A disease in potatoes, in which the leaves, at their first appearance, seem curled and shrunken.
Currie>>|<<n. &amp; v.>>|<<See 2d &amp; 3d Curry.
Cypher>>|<<n. &amp; v.>>|<<See Cipher.
Damaskeen>>|<<v.>>|<<Alt. of Damasken
Damasken>>|<<v.>>|<<To decorate, as iron, steel, etc., with a peculiar marking or "water" produced in the process of manufacture, or with designs produced by inlaying or incrusting with another metal, as silver or gold, or by etching, etc., to damask.
Deck>>|<<v.>>|<<The floorlike covering of the horizontal sections, or compartments, of a ship. Small vessels have only one deck; larger ships have two or three decks.
Deck>>|<<v.>>|<<The upper part or top of a mansard roof or curb roof when made nearly flat.
Deck>>|<<v.>>|<<The roof of a passenger car.
Deck>>|<<v.>>|<<A pack or set of playing cards.
Deck>>|<<v.>>|<<A heap or store.
Decrease>>|<<v.>>|<<A becoming less; gradual diminution; decay; as, a decrease of revenue or of strength.
Decrease>>|<<v.>>|<<The wane of the moon.
Deem>>|<<v.>>|<<To decide; to judge; to sentence; to condemn.
Deem>>|<<v.>>|<<To account; to esteem; to think; to judge; to hold in opinion; to regard.
Defeat>>|<<v.>>|<<An undoing or annulling; destruction.
Defeat>>|<<v.>>|<<Frustration by rendering null and void, or by prevention of success; as, the defeat of a plan or design.
Defeat>>|<<v.>>|<<An overthrow, as of an army in battle; loss of a battle; repulse suffered; discomfiture; -- opposed to victory.
Deforce>>|<<v.>>|<<To keep from the rightful owner; to withhold wrongfully the possession of, as of lands or a freehold.
Deforce>>|<<v.>>|<<To resist the execution of the law; to oppose by force, as an officer in the execution of his duty.
Delate>>|<<v.>>|<<To carry; to convey.
Delate>>|<<v.>>|<<To carry abroad; to spread; to make public.
Delate>>|<<v.>>|<<To carry or bring against, as a charge; to inform against; to accuse; to denounce.
Delate>>|<<v.>>|<<To carry on; to conduct.
Delay>>|<<v.>>|<<A putting off or deferring; procrastination; lingering inactivity; stop; detention; hindrance.
Despatch>>|<<n. &amp; v.>>|<<Same as Dispatch.
Disbranch>>|<<v.>>|<<To divest of a branch or branches; to tear off.
Disbud>>|<<v.>>|<<To deprive of buds or shoots, as for training, or economizing the vital strength of a tree.
Discount>>|<<v.>>|<<To deduct from an account, debt, charge, and the like; to make an abatement of; as, merchants sometimes discount five or six per cent for prompt payment of bills.
Discount>>|<<v.>>|<<To lend money upon, deducting the discount or allowance for interest; as, the banks discount notes and bills of exchange.
Discount>>|<<v.>>|<<To take into consideration beforehand; to anticipate and form conclusions concerning (an event).
Discount>>|<<v.>>|<<To leave out of account; to take no notice of.
Docquet>>|<<n. &amp; v.>>|<<See Docket.
Escape>>|<<v.>>|<<To flee from and avoid; to be saved or exempt from; to shun; to obtain security from; as, to escape danger.
Escape>>|<<v.>>|<<To avoid the notice of; to pass unobserved by; to evade; as, the fact escaped our attention.
Falter>>|<<v. &amp; n.>>|<<To hesitate; to speak brokenly or weakly; to stammer; as, his tongue falters.
Falter>>|<<v. &amp; n.>>|<<To tremble; to totter; to be unsteady.
Falter>>|<<v. &amp; n.>>|<<To hesitate in purpose or action.
Falter>>|<<v. &amp; n.>>|<<To fail in distinctness or regularity of exercise; -- said of the mind or of thought.
Famble>>|<<v.>>|<<A hand.
Fare>>|<<v.>>|<<A journey; a passage.
Fare>>|<<v.>>|<<The price of passage or going; the sum paid or due for conveying a person by land or water; as, the fare for crossing a river; the fare in a coach or by railway.
Fare>>|<<v.>>|<<Ado; bustle; business.
Fare>>|<<v.>>|<<Condition or state of things; fortune; hap; cheer.
Fare>>|<<v.>>|<<Food; provisions for the table; entertainment; as, coarse fare; delicious fare.
Fare>>|<<v.>>|<<The person or persons conveyed in a vehicle; as, a full fare of passengers.
Fare>>|<<v.>>|<<The catch of fish on a fishing vessel.
Fast>>|<<v.>>|<<Firmly fixed; closely adhering; made firm; not loose, unstable, or easily moved; immovable; as, to make fast the door.
Fast>>|<<v.>>|<<Firm against attack; fortified by nature or art; impregnable; strong.
Fast>>|<<v.>>|<<Firm in adherence; steadfast; not easily separated or alienated; faithful; as, a fast friend.
Fast>>|<<v.>>|<<Permanent; not liable to fade by exposure to air or by washing; durable; lasting; as, fast colors.
Fast>>|<<v.>>|<<Tenacious; retentive.
Fast>>|<<v.>>|<<Not easily disturbed or broken; deep; sound.
Fast>>|<<v.>>|<<Moving rapidly; quick in mition; rapid; swift; as, a fast horse.
Fast>>|<<v.>>|<<Given to pleasure seeking; disregardful of restraint; reckless; wild; dissipated; dissolute; as, a fast man; a fast liver.
Firmament>>|<<v. &amp; a.>>|<<Fixed foundation; established basis.
Firmament>>|<<v. &amp; a.>>|<<The region of the air; the sky or heavens.
Firmament>>|<<v. &amp; a.>>|<<The orb of the fixed stars; the most rmote of the celestial spheres.
Flap>>|<<v.>>|<<Anything broad and limber that hangs loose, or that is attached by one side or end and is easily moved; as, the flap of a garment.
Flap>>|<<v.>>|<<A hinged leaf, as of a table or shutter.
Flap>>|<<v.>>|<<The motion of anything broad and loose, or a stroke or sound made with it; as, the flap of a sail or of a wing.
Flap>>|<<v.>>|<<A disease in the lips of horses.
Flier>>|<<v.>>|<<One who flies or flees; a runaway; a fugitive.
Flier>>|<<v.>>|<<A fly. See Fly, n., 9, and 13 (b).
Floyte>>|<<n. &amp; v.>>|<<A variant of Flute.
Fold>>|<<v.>>|<<A doubling,esp. of any flexible substance; a part laid over on another part; a plait; a plication.
Fold>>|<<v.>>|<<Times or repetitions; -- used with numerals, chiefly in composition, to denote multiplication or increase in a geometrical ratio, the doubling, tripling, etc., of anything; as, fourfold, four times, increased in a quadruple ratio, multiplied by four.
Fold>>|<<v.>>|<<That which is folded together, or which infolds or envelops; embrace.
Fondle>>|<<v.>>|<<To treat or handle with tenderness or in a loving manner; to caress; as, a nurse fondles a child.
Foully>>|<<v.>>|<<In a foul manner; filthily; nastily; shamefully; unfairly; dishonorably.
Fulmine>>|<<v.>>|<<To thunder.
Gan>>|<<v.>>|<<Began; commenced.
Gar>>|<<v.>>|<<Any slender marine fish of the genera Belone and Tylosurus. See Garfish.
Gar>>|<<v.>>|<<The gar pike. See Alligator gar (under Alligator), and Gar pike.
Gard>>|<<v. &amp; n.>>|<<See Guard.
Gimblet>>|<<n. &amp; v.>>|<<See Gimlet.
Gingle>>|<<n. &amp; v.>>|<<See Jingle.
Gird>>|<<v.>>|<<To strike; to smite.
Gird>>|<<v.>>|<<To sneer at; to mock; to gibe.
Girt>>|<<v.>>|<<To gird; to encircle; to invest by means of a girdle; to measure the girth of; as, to girt a tree.
Given>>|<<v.>>|<<Granted; assumed; supposed to be known; set forth as a known quantity, relation, or premise.
Given>>|<<v.>>|<<Disposed; inclined; -- used with an adv.; as, virtuously given.
Glent>>|<<n. &amp; v.>>|<<See Glint.
Glose>>|<<n. &amp; v.>>|<<See Gloze.
Gore>>|<<v.>>|<<A wedgeshaped or triangular piece of cloth, canvas, etc., sewed into a garment, sail, etc., to give greater width at a particular part.
Gore>>|<<v.>>|<<A small traingular piece of land.
Gore>>|<<v.>>|<<One of the abatements. It is made of two curved lines, meeting in an acute angle in the fesse point.
Gospel>>|<<v.>>|<<Glad tidings; especially, the good news concerning Christ, the Kingdom of God, and salvation.
Gospel>>|<<v.>>|<<One of the four narratives of the life and death of Jesus Christ, written by Matthew, Mark, Luke, and John.
Gospel>>|<<v.>>|<<A selection from one of the gospels, for use in a religious service; as, the gospel for the day.
Gospel>>|<<v.>>|<<Any system of religious doctrine; sometimes, any system of political doctrine or social philosophy; as, this political gospel.
Gospel>>|<<v.>>|<<Anything propounded or accepted as infallibly true; as, they took his words for gospel.
Graduate>>|<<n. &amp; v.>>|<<Arranged by successive steps or degrees; graduated.
Graff>>|<<n. &amp; v.>>|<<See Graft.
Grain>>|<<v. &amp; n.>>|<<See Groan.
Grane>>|<<v. &amp; n.>>|<<See Groan.
Graunt>>|<<v. &amp; n.>>|<<See Grant.
Greith>>|<<v.>>|<<Goods; furniture.
Groundsel>>|<<v.>>|<<An annual composite plant (Senecio vulgaris), one of the most common and widely distributed weeds on the globe.
Grove>>|<<v.>>|<<A smaller group of trees than a forest, and without underwood, planted, or growing naturally as if arranged by art; a wood of small extent.
Grutch>>|<<v.>>|<<See Grudge.
Gustable>>|<<v.>>|<<Capable of being tasted; tastable.
Gustable>>|<<v.>>|<<Pleasant to the taste; toothsome; savory.
Gybe>>|<<n. &amp; v.>>|<<See Gibe.
Habitakle>>|<<v.>>|<<A dwelling place.
Hansel>>|<<n. &amp; v.>>|<<See Handsel.
Hastings>>|<<v.>>|<<Early fruit or vegetables; especially, early pease.
Hate>>|<<v.>>|<<Strong aversion coupled with desire that evil should befall the person toward whom the feeling is directed; as exercised toward things, intense dislike; hatred; detestation; -- opposed to love.
Haulse>>|<<v.>>|<<See Halse.
Hont>>|<<n. &amp; v.>>|<<See under Hunt.
Hye>>|<<n. &amp; v.>>|<<See Hie.
Impassion>>|<<v.>>|<<To move or affect strongly with passion.
Informer>>|<<v.>>|<<One who informs, animates, or inspires.
Informer>>|<<v.>>|<<One who informs, or imparts knowledge or news.
Informer>>|<<v.>>|<<One who informs a magistrate of violations of law; one who informs against another for violation of some law or penal statute.
Infusible>>|<<v.>>|<<Capable of being infused.
Jeer>>|<<v.>>|<<To utter sarcastic or scoffing reflections; to speak with mockery or derision; to use taunting language; to scoff; as, to jeer at a speaker.
Jigger>>|<<n. &amp; v.>>|<<One who, or that which, jigs; specifically, a miner who sorts or cleans ore by the process of jigging; also, the sieve used in jigging.
Jigger>>|<<n. &amp; v.>>|<<A horizontal table carrying a revolving mold, on which earthen vessels are shaped by rapid motion; a potter's wheel.
Jigger>>|<<n. &amp; v.>>|<<A templet or tool by which vessels are shaped on a potter's wheel.
Jigger>>|<<n. &amp; v.>>|<<A light tackle, consisting of a double and single block and the fall, used for various purposes, as to increase the purchase on a topsail sheet in hauling it home; the watch tackle.
Jigger>>|<<n. &amp; v.>>|<<A small fishing vessel, rigged like a yawl.
Jigger>>|<<n. &amp; v.>>|<<A supplementary sail. See Dandy, n., 2 (b).
Kaftan>>|<<n &amp; v.>>|<<See Caftan.
Kiss>>|<<v.>>|<<A salutation with the lips, as a token of affection, respect, etc.; as, a parting kiss; a kiss of reconciliation.
Kiss>>|<<v.>>|<<A small piece of confectionery.
Klick>>|<<n. &amp; v.>>|<<See Click.
Knapple>>|<<v.>>|<<To break off with an abrupt, sharp noise; to bite; to nibble.
Knowleche>>|<<n. &amp; v.>>|<<See Knowl, edge.
Lacker>>|<<n. &amp; v.>>|<<See Lacquer.
Lackey>>|<<v.>>|<<An attending male servant; a footman; a servile follower.
Lagan>>|<<n. &amp; v.>>|<<See Ligan.
Lakke>>|<<n. &amp; v.>>|<<See Lack.
Lament>>|<<v.>>|<<Grief or sorrow expressed in complaints or cries; lamentation; a wailing; a moaning; a weeping.
Lament>>|<<v.>>|<<An elegy or mournful ballad, or the like.
Late>>|<<v.>>|<<Coming after the time when due, or after the usual or proper time; not early; slow; tardy; long delayed; as, a late spring.
Late>>|<<v.>>|<<Far advanced toward the end or close; as, a late hour of the day; a late period of life.
Late>>|<<v.>>|<<Existing or holding some position not long ago, but not now; lately deceased, departed, or gone out of office; as, the late bishop of London; the late administration.
Late>>|<<v.>>|<<Not long past; happening not long ago; recent; as, the late rains; we have received late intelligence.
Late>>|<<v.>>|<<Continuing or doing until an advanced hour of the night; as, late revels; a late watcher.
Leak>>|<<v.>>|<<A crack, crevice, fissure, or hole which admits water or other fluid, or lets it escape; as, a leak in a roof; a leak in a boat; a leak in a gas pipe.
Leak>>|<<v.>>|<<The entrance or escape of a fluid through a crack, fissure, or other aperture; as, the leak gained on the ship's pumps.
Leave>>|<<v.>>|<<To withdraw one's self from; to go away from; to depart from; as, to leave the house.
Leave>>|<<v.>>|<<To let remain unremoved or undone; to let stay or continue, in distinction from what is removed or changed.
Leave>>|<<v.>>|<<To cease from; to desist from; to abstain from.
Leave>>|<<v.>>|<<To desert; to abandon; to forsake; hence, to give up; to relinquish.
Leave>>|<<v.>>|<<To let be or do without interference; as, I left him to his reflections; I leave my hearers to judge.
Leave>>|<<v.>>|<<To put; to place; to deposit; to deliver; to commit; to submit -- with a sense of withdrawing one's self from; as, leave your hat in the hall; we left our cards; to leave the matter to arbitrators.
Leave>>|<<v.>>|<<To have remaining at death; hence, to bequeath; as, he left a large estate; he left a good name; he left a legacy to his niece.
Leeme>>|<<v. &amp; n.>>|<<See Leme.
Letch>>|<<v. &amp; n.>>|<<See Leach.
Levanter>>|<<v.>>|<<One who levants, or decamps.
